doc_id,countryname,party,manifesto_id,text,cmp_code,nostalgic_at_least_1,nostalgic_at_least_2,nostalgic_at_least_3,nostalgic_at_least_4,translation_at_least_1,translation_at_least_2,translation_at_least_3,translation_at_least_4,nostalgic_coder1,nostalgic_coder2,nostalgic_coder3,nostalgic_coder4,translation_coder1,translation_coder2,translation_coder3,translation_coder4,translation_agreement_coders,nostalgia_sum,nostalgia_sum_emb,nostalgia_emb,nostalgia_dictionary_emb,nostalgia_dictionary,nostalgia_agreement_coders
51951 2001-06-07 508,United Kingdom,51951,51951 2001-06-07,"This will free us from the closed, inefficient system that gave us the Tornado (the F3 version of which had to be excluded from front line combat zones in the Gulf War), the Merlin (at £100M per airframe the most expensive helicopter on record) and the Eurofighter (£60M per airframe), which is five years late and three generations behind technology leaders.",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
82110 2010-05-29 1075,Czech Republic,82110,82110 2010-05-29,"The goal of family policy, does not have to be creating social pressure that directs people to the traditional social roles.",604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
92436 2011-10-09 1376,Poland,92436,92436 2011-10-09,"If this change is not-lona resolutions in the current parliamentary term, we will strive for it after the election.",303,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
22526 2002-05-15 1675,Netherlands,22526,22526 2002-05-15,These aspects will be given a place within the WTO negotiations.,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88621 2012-10-14 1834,Lithuania,88621,88621 2012-10-14,• broaden and strengthen the role of municipalities in creating safe living environment.,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15620 2017-10-28 237,Iceland,15620,15620 2017-10-28,Consultative Group on handling sexual offenses within the criminal justice system has worked on a final report and action plan over the past year and will be submitted by the end of 2017.,605.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
15450 2016-10-29 536,Iceland,15450,15450 2016-10-29,"Iceland is the Nordic countries, as well as other OECD countries, far behind in this respect.",506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31220 1981-06-14 292,France,31220,31220 1981-06-14,Which shows the effectiveness of what we do from innate and is full of possibilities for the future.,NA,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
82110 2006-06-03 1594,Czech Republic,82110,82110 2006-06-03,"The first pillar will be defined-contribution, which means that participants pay a fixed contribution rate, but the pension is calculated with respect to the amount of premiums collected, the rate of return and life expectancy at the time of granting the pension.",408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
41521 2013-09-22 1448,Germany,41521,41521 2013-09-22,Germany is a successful integration of the country.,601,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
88320 2008-10-12 8,Lithuania,88320,88320 2008-10-12,2. Socialist ideas emerged Lithuania Lithuanian national revival in the nineteenth century.,601,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,4
12951 1993-09-13 976,Norway,12951,12951 1993-09-13,"A ceiling on payments will improve opportunities for obtaining private pension insurance, where payments are relative to payouts.",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33902 2000-03-12 67,Spain,33902,33902 2000-03-12,"The result has been a mere administrative decentralization of powers and resources, but has not served to successfully accommodate the expectations of differential recognition that the historical nationalities had deposited in the autonomous State.",204,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,2
21521 1995-05-21 233,Belgium,21521,21521 1995-05-21,The past four years of work was also made a series of political reforms.,NA,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1
34213 2012-05-06 1338,Greece,34213,34213 2012-05-06,"At the same time, the state must keep open the path of return, without the forced return is a panacea, if not complemented by voluntary repatriation and even priority.",607.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0
97710 2004-10-03 58,Slovenia,97710,97710 2004-10-03,The development of young staff should be based on the findings of modern science and to allow the young generation and enables normal mental development.,411,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0
35311 2005-02-20 3062,Portugal,35311,35311 2005-02-20,"• Review the incentive scheme for the regional media,",402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22330 2017-03-15 3138,Netherlands,22330,22330 2017-03-15,Let us set play or we will jointly meet the challenges of the 21st century?,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
34313 2007-09-16 1005,Greece,34313,34313 2007-09-16,healthy competition -Katochyrosi aviation and prevent the creation of monopolies.,401,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
14520 1987-03-16 9,Finland,14520,14520 1987-03-16,"In the history of civilization at a time when our country there was a Christian uniformity, the need for a Christian political party was not because society as a whole supported in a Christian conception of life.",NA,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,4
33610 1982-10-28 534,Spain,33610,33610 1982-10-28,"Popular Alliance proposes: - Ending the cyclical policies and implement a policy of long-term housing, able to meet the housing needs, both qualitatively and quantitatively, in every time and place and in accordance with the actual demand and based on: a new Urban Lease Act; in a Public Protection Act of Housing, after revising the current draft of the Act; a real estate tax clear and appropriate to current circumstances; a Law on Rehabilitation of the existing heritage, etc.",NA,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,2
82430 2017-10-21 469,Czech Republic,82430,82430 2017-10-21,We propose a new structure for building offices.,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41420 2002-09-22 1958,Germany,41420,41420 2002-09-22,The Foreign cultural policy must contribute to the reduction of hostile and prejudices and thus make to the fight against terrorism.,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86710 2014-04-06 2769,Hungary,86710,86710 2014-04-06,"The consequences of this were not the fragmented, public procurement and IT developments disorganized and substantial economic return calculations.",411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
32410 1983-06-26 256,Italy,32410,32410 1983-06-26,"For it is entirely recalls that this program does not intend to state all issues, while important, on which the party has put forward its proposals, but forcefully call attention to the need for a series of measures that restore full functionality to the first system engines institutions (Government, Parliament, political parties) and at the same time ensure a greater degree of efficiency and impartiality of the judiciary action.",NA,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,2
51421 1992-04-09 131,United Kingdom,51421,51421 1992-04-09,2 Government action can significantly affect standards of environmental  protection.,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42320 1990-10-07 637,Austria,42320,42320 1990-10-07,also ensure media pluralism and the functioning of market mechanisms through appropriate provisions against further concentration and competition trends in the field of media.,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21913 1977-04-17 178,Belgium,21913,21913 1977-04-17,Prejudice or discrimination because of those beliefs must be excluded.,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32420 1976-06-20 371,Italy,32420,32420 1976-06-20,This is due to many reasons such as not taking root in the new third world countries of democratic institutions and the progressive widening global influence of the Soviet bloc.,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
32320 1992-04-06 720,Italy,32320,32320 1992-04-06,It has broken the vicious cycle that for almost half a century had pushed the two protagonists of the Cold War to accumulate weapons of increasingly sophisticated destruction.,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
33020 2015-12-20 587,Spain,33020,33020 2015-12-20,"The State will implement three levels of license: production, processing and sales.",605.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92436 2011-10-09 851,Poland,92436,92436 2011-10-09,You can say with full responsibility that the German side against Donald Tusk has voluntarily adopted a political stance client-Jac is not receiving in return nothing but literally shared photos and film stills of a smiling German Chancellor and the Charlemagne Prize.,305,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,1,1,1,0,0
83411 2015-03-01 228,Estonia,83411,83411 2015-03-01,"We offer a very good level of Estonian language learning from kindergarten teaching aids, teachers, and guidance for public financial support.",506,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34210 2007-09-16 117,Greece,34210,34210 2007-09-16,"The young men and women should be free to decide when to have a family, at what age they will acquire, when and how many children will do.",603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12810 1969-09-07 21,Norway,12810,12810 1969-09-07,A lasting peace in the world depends on that all people are guaranteed the basic human rights as expressed in the UN's Declaration of Human Rights.,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97322 2011-12-04 188,Slovenia,97322,97322 2011-12-04,"To introduce models of financing, we focused on the rapid introduction of medical technologies,",411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41521 1987-01-25 864,Germany,41521,41521 1987-01-25,"The prerequisite is that nuclear power plants as have in the Federal Republic of Germany, for example, several differently acting and independently working safety systems.",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11420 2010-09-19 376,Sweden,11420,11420 2010-09-19,"But even in an expanded welfare state as Sweden, there are people who are outside. These are groups that have no voice strong organization behind it.",504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13720 2001-11-20 825,Denmark,13720,13720 2001-11-20,"Complaints councils controlling home help, but has little contact with the staff and users.",NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
83411 2015-03-01 452,Estonia,83411,83411 2015-03-01,"We see that the Academy of Security, Defense College and the Baltic Defense College can be developed based on the International Defense Academy, which would represent the European Union and NATO, a high-level regional security competence center.",104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15620 2017-10-28 11,Iceland,15620,15620 2017-10-28,"We're going to keep track of the older generation, raising the maximum income level and make a special effort to increase the number of nursing homes.",H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
22320 2012-09-12 2688,Netherlands,22320,22320 2012-09-12,We will immediately commence a gradual reform of the housing.,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41320 2002-09-22 46,Germany,41320,41320 2002-09-22,a modern family policy or a Return to the exclusion of women from the labor force;,503,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0
53110 2002-05-17 139,Ireland,53110,53110 2002-05-17,CATERING FOR SPECIAL NEEDS.,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41521 2002-09-22 398,Germany,41521,41521 2002-09-22,It must be reissued a systematic and sustainable future planning of transport infrastructure and mobility.,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13220 1968-01-23 148,Denmark,13220,13220 1968-01-23,"As a representative of the trade union movement, is it my heart that full employment is maintained.",NA,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
41420 2017-09-24 911,Germany,41420,41420 2017-09-24,"War refugees should return it after the war, as a rule in their homeland.",201.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0
88621 2012-10-14 1991,Lithuania,88621,88621 2012-10-14,One of the key provisions of this law - the Criminal Procedure Code to return the pre-trial deadline set by strict compliance monitoring.,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
13951 1975-01-09 80,Denmark,13951,13951 1975-01-09,"Of course there are also foolish business people, but they go broke if only skatteydersubsidierne omitted.",NA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0
14820 2011-04-17 368,Finland,14820,14820 2011-04-17,"The True Finns' view, the citizen has in recent decades led astray knowingly, when society is more and more withdrawn from their responsibilities diseases and social problem in the treatment of situations, without that citizens should be clearly communicated in advance and changes in liability relations.",305,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,2
97522 2008-09-21 938,Slovenia,97522,97522 2008-09-21,"In Slovenia, the share of employed women has been rising since the beginning of the last century, when it was 20% of employees are women.",706,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
32420 1983-06-26 204,Italy,32420,32420 1983-06-26,#NAME?,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88820 2016-10-09 1057,Lithuania,88820,88820 2016-10-09,This is only partly explained by the Wasting of energy resources;,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33611 2000-03-12 2785,Spain,33611,33611 2000-03-12,It will also be necessary to review the specific gravity of the Spanish appellation in some organizations and strengthen incentives to increase the presence of our citizens within international organizations.,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82320 2006-06-03 1053,Czech Republic,82320,82320 2006-06-03,"We want to look at the modern integrated system of education significantly expanded opportunities for further training and retraining of adults, especially older members of the middle-aged generation, which is due to lack of necessary qualifications hardly applies to the current labor market.",506,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
11520 2002-09-15 159,Sweden,11520,11520 2002-09-15,Public resources must samnyttjas to the sick leave as quickly as possible to be able to return to work and thus prevent permanent exclusion.,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,1,1,1,0,0
22110 2002-05-15 501,Netherlands,22110,22110 2002-05-15,No Iron Rhine is the historic route through North Brabant and Limburg.,NA,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,2
83440 2015-03-01 652,Estonia,83440,83440 2015-03-01,"The constant need for proof of family benefits, which is the essence of the targeted 26,800 families with derision.",504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
42420 1971-10-10 53,Austria,42420,42420 1971-10-10,"INDUSTRY In full recognition of the economic importance to the growing tourism, Austria's future will depend not least on ~ what role it is able to take over as an industrialized country in the international division of labor.",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15810 2016-10-29 39,Iceland,15810,15810 2016-10-29,and other measures in housing - rental housing and increase student housing,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32630 2013-02-24 149,Italy,32630,32630 2013-02-24,"Increased taxation on the remaining unproductive rent (hedge funds, real estate is not rented, etc).",402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32630 2013-02-24 199,Italy,32630,32630 2013-02-24,"Prohibition of financial speculation and high-risk operations with money account holders, small investors, businesses and households.",403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97440 2008-09-21 114,Slovenia,97440,97440 2008-09-21,preserving the general baccalaureate as completion of secondary school education and external verification as -janje knowledge that ensures the maintenance of educational standards in high school.,506,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,2
53520 1969-06-16 273,Ireland,53520,53520 1969-06-16,We repudiate the attitude of the present government as expressed by theMinister for External Affairs - if the emigrants return they will be given social assistance here; when they are in England thegovernment has no responsibility for them.,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
22952 1994-05-03 334,Netherlands,22952,22952 1994-05-03,The course of national history is indispensable in education.,601,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,4
21914 2003-05-18 1345,Belgium,21914,21914 2003-05-18,"If Africa is torn by wars and bloody tribal clashes, then this is also because the European powers have almost arbitrary borders drawn in the past through to keep the continent without regard to ethnic rifts.",NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1
11520 2014-09-14 303,Sweden,11520,11520 2014-09-14,"The policy has been tried, with devastating results.",305.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87610 2006-10-07 3,Latvia,87610,87610 2006-10-07,Aigars Kalvitis-led government has worked for one of the most prolific periods of work in Latvian history.,305.3,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,4
34313 2007-09-16 425,Greece,34313,34313 2007-09-16,"The transition to the era of integrated high-value-added services through the convergence of fixed and mobile telephony, fast internet and television.",411,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
42430 2013-09-29 314,Austria,42430,42430 2013-09-29,More responsible and more transparent personnel policy for European institutions: Hearing in the Austrian Parliament with the / the Kandidat_in for dieEuropäische Commission (plenary) and Kandidat_innen for other top positions in the EU administration (in constant Subcommittee of the Board or a similar parliamentary body),304,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0
80710 2013-05-12 82,Bulgaria,80710,80710 2013-05-12,It can go for half a century to get a 30 tons per year.,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
51620 1979-05-03 167,United Kingdom,51620,51620 1979-05-03,Too much emphasis has been placed on attempts to preserve existing jobs.,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
12221 2013-09-09 2916,Norway,12221,12221 2013-09-09,SV jobs: Several productions for children at the national scenes and regional theaters.,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13952 1966-11-22 26,Denmark,13952,13952 1966-11-22,A withholding tax and a Merom will impose business unreasonable burdens and be expensive to administer for the government.,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13210 1975-01-09 94,Denmark,13210,13210 1975-01-09,The root cause is found in capitalism's basic features: production for profit and still the accumulation of capital.,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
12420 1977-09-11 171,Norway,12420,12420 1977-09-11,"- Leverage Inga of petroleum resources of the continental shelf will - expand the raw material basis for industrial resturants - obtaining land large foreign exchange earnings - cause is increasingly being cost and thereby weakening the competition Andreevna industry Out from LEFT their enhancement requests to holding up ein varied township facility and a society in greater jamvekt, marked by increased self-rescue, diversity and strong viable communities should aim be to holding up and develop a industry - with an occupancy rate of approximately the level the industry today - based on ein progressive use of resources and protecting the environment - put together by small medium and large enterprises and with hovudtyngda among dei small businesses - with good geographic proliferation - that give work offer also arbeidstakarar with weak education, handicapped, young and old, women Savel as for men - there hovudtyngda of production is lead in private enterprises, with well-developed corporate and under social control To reach this goal would LEFT: - securing jobs by strengthening competition Andreevna to industry rather than to increase the material living standards by using oil revenues innanlands - prioritize dei smaller and medium-sized enterprises, various industries that traditionally produce finished goods and knowledge-oriented industries - holding up a property Norwegian textile industry - going against a vidare development of the highly capital- and energy-intensive råmetallindustrien, t.",NA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,1,1,1,0,0
11320 2002-09-15 219,Sweden,11320,11320 2002-09-15,We want to intensify the immigrant culture.,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
83410 2011-03-06 3,Estonia,83410,83410 2011-03-06,But we have not come to that return.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
82320 2006-06-03 1250,Czech Republic,82320,82320 2006-06-03,Through dialogue wants to develop and expand creative collaboration with churches and religious societies in the Czech Republic and internationally.,503,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21321 2010-06-13 220,Belgium,21321,21321 2010-06-13,sp.a knows automatically rights.,504,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
87730 2018-10-06 20,Latvia,87730,87730 2018-10-06,Our goal is to achieve a significant increase in the number of Latvian citizens.,601.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22526 2012-09-12 1710,Netherlands,22526,22526 2012-09-12,"The visualization of the history of the products in the field of sustainability and social impact traceability and visualization, so that consumers can make an honest choice.",416,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1
35520 2011-06-05 203,Portugal,35520,35520 2011-06-05,"However all social benefits involve a moral hazard - that their assignment is more attractive than the inclusion, the return to the labor market or the acquisition of own income.",505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
11320 2006-09-17 238,Sweden,11320,11320 2006-09-17,The establishment of new private schools may not lead to worse education for the children in the public school,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41113 2013-09-22 536,Germany,41113,41113 2013-09-22,"Wherever possible, we want to co-generation power (CHP) in gas - ie the simultaneous use of electricity and heat - use and increase as the proportion of KW of electricity generation by 2020 to at least 25%.",411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
83411 2015-03-01 565,Estonia,83411,83411 2015-03-01,"The economic achievements are not a substitute for the arts and cultural traditions created, but can get out of the country only to be supportive based.",502,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,4
22527 1989-09-06 1056,Netherlands,22527,22527 1989-09-06,Through the appropriate international fora intended advocated our country measures aimed at independent participation of these countries in the international economy.,107,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
92436 2011-10-09 1595,Poland,92436,92436 2011-10-09,Taxpayers can not be surprised continuous partial change-and I can not live in constant uncertainty.,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
